fold,rmse,mae,r2,infer_ms
0,0.32023584842681885,0.31561633944511414,-3207282556928.0,0.03344271421415864
1,0.08204659074544907,0.0760042667388916,0.0,0.032901071400764134
2,0.4958091676235199,0.471685528755188,0.0,0.008887805181854804
3,0.1928110122680664,0.13187263906002045,-10464137314304.0,0.0067783174537388345
4,0.1292591392993927,0.11478592455387115,-1175715840000.0,0.007470124988425856
5,0.1174306720495224,0.09398151934146881,-970382311424.0,0.012383178597831699
6,0.22507546842098236,0.20879782736301422,-3564807913472.0,0.02648285720040024
