fold,rmse,mae,r2,infer_ms
0,0.2950262129306793,0.2537318766117096,-2722190327808.0,4.147531928538228
1,0.054294656962156296,0.043038468807935715,0.0,3.6660431427922697
2,0.16801871359348297,0.1232193261384964,0.0,4.45828414286824
3,0.5017514228820801,0.4822605550289154,-70862589919232.0,4.5650764920523335
4,0.26599541306495667,0.2497314065694809,-4978838601728.0,4.441386535745551
5,0.054870691150426865,0.03978794068098068,-211865714688.0,3.643494571406336
6,0.1906185895204544,0.18955077230930328,-2556879699968.0,3.6681140001227113
