fold,rmse,mae,r2,infer_ms
0,0.4123590588569641,0.40981483459472656,-5317999984640.0,0.016173571566469036
1,0.003978804685175419,0.0033404401037842035,0.0,0.13024899999436457
2,0.40404561161994934,0.4040377736091614,0.0,0.003617935055751934
3,0.7680240869522095,0.7659090161323547,-166031121186816.0,0.0038751905011604466
4,0.12643325328826904,0.12528154253959656,-1124870258688.0,0.004205857164509196
5,0.2419309914112091,0.24174828827381134,-4118725001216.0,0.007082107133880656
6,0.05887312814593315,0.05295797809958458,-243901235200.0,0.014149571403062769
