fold,rmse,mae,r2
0,0.4734533131122589,0.41916152834892273,-7010542157824.0
1,0.23529097437858582,0.20954939723014832,0.0
2,0.553880512714386,0.4954899251461029,0.0
3,0.4625093936920166,0.4254215657711029,-60211700170752.0
4,0.604850172996521,0.5544782280921936,-25743962669056.0
5,0.43090537190437317,0.3395995497703552,-13066028711936.0
6,0.2993537187576294,0.24674943089485168,-6305930018816.0
7,0.9866178631782532,0.9472510814666748,0.0
